title,authors_name,auths_institution,auths_per_institution,abstract,location,pub_date,citation_nbres,download_nbres,dio
Blockchain Extension for PostgreSQL Data Storage,"Yash Madhwal,Darkhan Nurlybay,Yury A Yanovich","Skolkovo Institute of Science and Technology,National Research University Higher School of Economics,Skolkovo Institute of Science and Technology","(Yash Madhwal) FROM (Skolkovo Institute of Science and Technology),(Darkhan Nurlybay) FROM (National Research University Higher School of Economics),(Yury A Yanovich) FROM (Skolkovo Institute of Science and Technology)","Blockchain is an emerging technology with the potential to resolve auditing issues. Implementing a new blockchain-related feature implies moving to a platform with another database or duplicating its parts in a blockchain system. Both ways are difficult to migrate and maintain. The alternative is to implement blockchain features within the existing database, including consensus mechanisms and specific data structures for audit needs. The paper describes and evaluates a database extension with blockchain-related structures, leaving consensus beyond the scope. We use an account-based prototype of cryptocurrency as a model example. The proposed extension allows provably checking transaction content and user balance without a full database lookup. The numerical experiments to study the overhead of the proposed extension are provided.",Russia,02 October 2021,0,"1,272",https://doi.org/10.1145/3475992.3476002
Overview of Blockchain Data Privacy Protection,"Qi Zhang,Hai Lv,Junwei Ma,Jingye Li,Jieni Zhang","State Grid Shanxi Electric Power Company,Beijing Zhongdian Puhua Information Technology Co.,Ltd,State Grid Shanxi Electric Power Company,Yangquan power supply company of State Grid Shanxi Electric Power Company,Taiyuan University of Technology","(Qi Zhang) FROM (State Grid Shanxi Electric Power Company),(Hai Lv) FROM (Beijing Zhongdian Puhua Information Technology Co.,Ltd),(Junwei Ma) FROM (State Grid Shanxi Electric Power Company),(Jingye Li) FROM (Yangquan power supply company of State Grid Shanxi Electric Power Company),(Jieni Zhang) FROM (Taiyuan University of Technology)","Blockchain has the advantages of decentralization and distributed sharing of global ledger, but at the same time, it also has the risk of data privacy leakage. In order to prevent the privacy of blockchain users from being stolen by malicious attackers, there is still a large space for development of various protection mechanisms. At first, this paper analyzes the architecture of chain block, the Blockchain data privacy threat mainly summarized data for the application layer, network layer, data privacy threats to privacy, consensus layer data and transaction layer data privacy threats to privacy, and respectively summarized this paper introduces the principle of all kinds of privacy protection mechanism, characteristics, and different ways of implementation, Finally, it points out the future research direction of blockchain data privacy protection.",China,02 October 2021,0,447,https://doi.org/10.1145/3475992.3476000
Blockchain Enabled IoT Edge Computing,Pankaj Mendki,"Talentica Software Pvt Ltd, Pune","(Pankaj Mendki) FROM (Talentica Software Pvt Ltd, Pune)","Number of internet connected devices is increasing as IoT is getting more prevalent. Volume of data collected by IoT sensors is very high and requires considerable resources for data processing like analytics. Edge processing enables getting the sensor data processed closer to the source. It's not always possible and/or economical to set up a resource intense infrastructure at the edge. This paper proposes use of blockchain based decentralized application to enable IoT edge processing. With this setup, it is possible for a resource owner to join the ecosystem and to lend the compute resources as needed. IoT devices can offload some of the edge computation to the resource owner nodes as and when required. This paper explains architectural components and overall solution for implementation. Based on the usecase of video analytics at edge, experimental setup is implemented for the IoT edge solution using hyperledger sawtooth blockchain.",India,15 March 2019,15,"1,526",https://doi.org/10.1145/3320154.3320166
Towards a Blockchain Deployment at UAE University: Performance Evaluation and Blockchain Taxonomy,"Leila Ismail,Heba Hameed,Mahra AlShamsi,Manayer S Alhammadi,Noura AlDhanhani","IEEE, College of Information Technology, UAE University, Al Ain,UAE University, Al Ain,UAE University, Al Ain,UAE University, Al Ain,UAE University, Al Ain","(Leila Ismail) FROM (IEEE, College of Information Technology, UAE University, Al Ain),(Heba Hameed) FROM (UAE University, Al Ain),(Mahra AlShamsi) FROM (UAE University, Al Ain),(Manayer S Alhammadi) FROM (UAE University, Al Ain),(Noura AlDhanhani) FROM (UAE University, Al Ain)","Blockchain technology initially developed for transactions on cryptocurrencies is now gaining popularity in major domains such as education, healthcare, media, government, smart computing, and business enterprise. Blockchain manages the transactions database in a decentralized way replicated on all the nodes with no single governing authority. In this paper, we present a classification and taxonomy of different blockchain development platforms and simulators along with their consensus protocols, the types of supported blockchain networks and programming languages. We also assess the performance of a blockchain application for deployment at the UAE University (UAEU) versus increasing number of nodes, blocks and block size, on top of experimental network latencies and bandwidth between the nodes. Our results show that a large-scale deployment of blockchain at UAEU is feasible.",UAE,15 March 2019,13,"1,374",https://doi.org/10.1145/3320154.3320156
PoolParty: Efficient Blockchain-Agnostic Decentralized Mining Pool,"Nicholas Dana Troutman,Aron Laszka","University of Houston,University of Houston","(Nicholas Dana Troutman) FROM (University of Houston),(Aron Laszka) FROM (University of Houston)","Blockchain mining is increasingly dominated by a few centralized mining pools [1]. Large pools can censor transactions on the blockchain and can coordinate their efforts to potentially carry out a 51% attack [2]. There have been 2 previous decentralized mining pools P2Pool and SmartPool, but both had unique limitations and are no longer actively mining. PoolParty is a novel decentralized blockchain-agnostic mining pool. By using smart-contracts to validate shares and punish miner misbehavior, as well as employing fines to disincentivize cheating, PoolParty is both secure and has low overhead operating costs. PoolParty can provide 0.05% overhead costs on Ethereum, and 0.003% overhead costs on Ethereum Classic for users with 20% pool hash-power. Finally, PoolParty can be implemented on less expensive smart contract hostable blockchains to improve scalability and overhead.",USA,20 July 2021,0,80,https://doi.org/10.1145/3460537.3460554
Blockchain Analysis Tool of a Cryptocurrency,"Robert Werner,Sebastian Lawrenz,Andreas Rausch","Institute for Software and Systems Engineering, Clausthal University of Technology, Arnold-Sommerfeld-Straße, Clausthal-Zellerfeld,Institute for Software and Systems Engineering, Clausthal University of Technology, Arnold-Sommerfeld-Straße, Clausthal-Zellerfeld,Institute for Software and Systems Engineering, Clausthal University of Technology, Arnold-Sommerfeld-Straße, Clausthal-Zellerfeld","(Robert Werner) FROM (Institute for Software and Systems Engineering, Clausthal University of Technology, Arnold-Sommerfeld-Straße, Clausthal-Zellerfeld),(Sebastian Lawrenz) FROM (Institute for Software and Systems Engineering, Clausthal University of Technology, Arnold-Sommerfeld-Straße, Clausthal-Zellerfeld),(Andreas Rausch) FROM (Institute for Software and Systems Engineering, Clausthal University of Technology, Arnold-Sommerfeld-Straße, Clausthal-Zellerfeld)","In recent years, cryptocurrencies have become more and more popular and the growing adoption has led to an increasing number of financial transactions being stored on the blockchain. Although cryptocurrencies have built a reputation as an anonymous means of payment, they are usually rather pseudonymous, transparent and everlasting logbooks about financial transactions, which are publicly available. Thus, analyzing a crypto address can reveal payment partners, money flows, behavior patterns and more. In this work, a program is presented, which provides an analysis of this kind and displays the results in a simple format. The technical properties of the blockchain that this analysis is based on are explained. This paper explains the possible impact of total transparency on the blockchain and our tool on our society.",Germany,29 May 2020,4,"1,231",https://doi.org/10.1145/3390566.3391671
Practical Blockchain-Based Financial Assets Tokenization,"Yatipa Chaleenutthawut,Vyacheslav A Davydov,Alexander Kuzmin,Yury A Yanovich","Skolkovo Institute of Science and Technology,Proxima Capital Group,Singapore University of Technology&Design,Skolkovo Institute of Science and Technology","(Yatipa Chaleenutthawut) FROM (Skolkovo Institute of Science and Technology),(Vyacheslav A Davydov) FROM (Proxima Capital Group),(Alexander Kuzmin) FROM (Singapore University of Technology&Design),(Yury A Yanovich) FROM (Skolkovo Institute of Science and Technology)","Financial institutions own balanced portfolios with different types of assets, resulting in a low-risk investment. At the same time, assets cannot be broken down into smaller parts with comparable risk for resale owing to regulators’ restrictions caused by a lack of auditability. Blockchain overcomes this issue with smart contracts. By now, the way to tokenize financial assets into a commodity is known. In this paper, we provide technical details for tokenization. Namely, an artificial dataset from Forex data is constructed for demonstration purposes; two tokenization algorithms are implemented and applied to the dataset; ERC1155-based smart contract is implemented and applied to the algorithms’ output to perform sold-out and secondary market steps. The source code is openly available.",Russia,25 February 2022,0,117,https://doi.org/10.1145/3510487.3510495
Practical Blockchain-Based Financial Assets Tokenization,"Yatipa Chaleenutthawut,Vyacheslav A Davydov,Alexander Kuzmin,Yury A Yanovich","Skolkovo Institute of Science and Technology,Proxima Capital Group,Singapore University of Technology&Design,Skolkovo Institute of Science and Technology","(Yatipa Chaleenutthawut) FROM (Skolkovo Institute of Science and Technology),(Vyacheslav A Davydov) FROM (Proxima Capital Group),(Alexander Kuzmin) FROM (Singapore University of Technology&Design),(Yury A Yanovich) FROM (Skolkovo Institute of Science and Technology)","Financial institutions own balanced portfolios with different types of assets, resulting in a low-risk investment. At the same time, assets cannot be broken down into smaller parts with comparable risk for resale owing to regulators’ restrictions caused by a lack of auditability. Blockchain overcomes this issue with smart contracts. By now, the way to tokenize financial assets into a commodity is known. In this paper, we provide technical details for tokenization. Namely, an artificial dataset from Forex data is constructed for demonstration purposes; two tokenization algorithms are implemented and applied to the dataset; ERC1155-based smart contract is implemented and applied to the algorithms’ output to perform sold-out and secondary market steps. The source code is openly available.",Russia,25 February 2022,0,117,https://doi.org/10.1145/3510487.3510495
Ring Signature-Based Voting on Blockchain,"Alexandra Kugusheva,Yury A Yanovich","National Research University, Higher School of Economics, Moscow,Skolkovo Institute of Science and Technology, Moscow, Russia and Bitfury, Moscow","(Alexandra Kugusheva) FROM (National Research University, Higher School of Economics, Moscow),(Yury A Yanovich) FROM (Skolkovo Institute of Science and Technology, Moscow, Russia and Bitfury, Moscow)","Amid ongoing digitalization, the use case of electronic voting has naturally arisen, with attempts beginning as early as 2000. Blockchain technology has the potential to bring trust and built-in auditing tools to such systems. This paper presents a prototype of the system for collective voting. It is based on blockchain and linkable ring signatures to ensure the transfer of closed (secret) data without the loss of reliability and with respect for the privacy of group members.",Russia,20 March 2020,0,616,https://doi.org/10.1145/3376044.3376054
"Blockchain Enabled IoT Edge Computing: Addressing Privacy, Security and other Challenges",Pankaj Mendki,"Talentica Software Pvt Ltd., Pune","(Pankaj Mendki) FROM (Talentica Software Pvt Ltd., Pune)","The earlier work related to this paper described blockchain enabled IoT edge computing architecture, where any compute resource owner can join the ecosystem and lend out the compute resources required for edge computing/analytics. This paper lists possible set of challenges implementing the above solution. The primary challenges are ensuring data privacy for the input data files and ensuring computation integrity when executing the computation remotely. The paper talks about current state research and possible practical implementation to address the privacy and integrity challenges using hardware assisted trusted executing environment primarily Intel SGX. The paper proposes using unidirectional payment channels to address payment related challenges.",India,29 May 2020,7,584,https://doi.org/10.1145/3390566.3391689
