,Document Title,Authors,Universities,Author Affiliations,Publication Year,citation,DOI,Publisher
0,Blockchain Extension for PostgreSQL Data Storage,"Yash Madhwal,Darkhan Nurlybay,Yury A Yanovich",['National Research University Higher School of Economics'],Russia,2021,0,https://doi.org/10.1145/3475992.3476002,ACM
1,Overview of Blockchain Data Privacy Protection,"Qi Zhang,Hai Lv,Junwei Ma,Jingye Li,Jieni Zhang",['Taiyuan University of Technology'],China,2021,0,https://doi.org/10.1145/3475992.3476000,ACM
2,Blockchain Enabled IoT Edge Computing,Pankaj Mendki,[],India,2019,15,https://doi.org/10.1145/3320154.3320166,ACM
3,Towards a Blockchain Deployment at UAE University: Performance Evaluation and Blockchain Taxonomy,"Leila Ismail,Heba Hameed,Mahra AlShamsi,Manayer S Alhammadi,Noura AlDhanhani",['UAE University'],UAE,2019,13,https://doi.org/10.1145/3320154.3320156,ACM
4,PoolParty: Efficient Blockchain-Agnostic Decentralized Mining Pool,"Nicholas Dana Troutman,Aron Laszka",['University of Houston'],USA,2021,0,https://doi.org/10.1145/3460537.3460554,ACM
5,Blockchain Analysis Tool of a Cryptocurrency,"Robert Werner,Sebastian Lawrenz,Andreas Rausch",['Clausthal University of Technology'],Germany,2020,4,https://doi.org/10.1145/3390566.3391671,ACM
6,Practical Blockchain-Based Financial Assets Tokenization,"Yatipa Chaleenutthawut,Vyacheslav A Davydov,Alexander Kuzmin,Yury A Yanovich",['Singapore University of TechnologyDesign'],Russia,2022,0,https://doi.org/10.1145/3510487.3510495,ACM
7,Practical Blockchain-Based Financial Assets Tokenization,"Yatipa Chaleenutthawut,Vyacheslav A Davydov,Alexander Kuzmin,Yury A Yanovich",['Singapore University of TechnologyDesign'],Russia,2022,0,https://doi.org/10.1145/3510487.3510495,ACM
8,Ring Signature-Based Voting on Blockchain,"Alexandra Kugusheva,Yury A Yanovich",['National Research University'],Russia,2020,0,https://doi.org/10.1145/3376044.3376054,ACM
9,"Blockchain Enabled IoT Edge Computing: Addressing Privacy, Security and other Challenges",Pankaj Mendki,[],India,2020,7,https://doi.org/10.1145/3390566.3391689,ACM
10,Application of Blockchain Technology in Oil and Gas Industry,"Jian Sun,Gufan Zhao,Ruiyao Wang",[],China,2021,0,https://doi.org/10.1145/3460537.3460538,ACM
11,Blockchain Technology as an Approach for Data Marketplaces,"Sebastian Lawrenz,Priyanka Sharma,Andreas Rausch",['Clausthal University of Technology'],Germany,2019,10,https://doi.org/10.1145/3320154.3320165,ACM
12,Blockchain-based Supply Chain Financial Services Using Smart Contract,Xiaocong Yu,['Hubei University of Technology'],China,2022,0,https://doi.org/10.1145/3510487.3510497,ACM
13,A Time-Segmented Consortium Blockchain for Robotic Event Registration,"Vasco Ferrinho Lopes,Nuno Pereira,Miguel Ivo Fernandes,Luís A Alexandre",['University of Beira Interior'],PT,2021,0,https://doi.org/10.1145/3460537.3460557,ACM
14,A Time-Segmented Consortium Blockchain for Robotic Event Registration,"Vasco Ferrinho Lopes,Nuno Pereira,Miguel Ivo Fernandes,Luís A Alexandre",['University of Beira Interior'],PT,2021,0,https://doi.org/10.1145/3460537.3460557,ACM
15,DeExam: A Decentralized Exam Administration Model using Public Blockchain,"Yusuke Kaneko,Shuntaro Tanaka,Tomoyuki Kimura,Jun Okumura,Shigeyuki Azuchi,Shigeyuki Osada",['Ltd and Okayama University'],Japan,2021,0,https://doi.org/10.1145/3475992.3475993,ACM
16,Increasing the Confidence of the Brazilian Livestock Production Chain using Blockchain,"Vasco V Picchi,Eduardo F De Castro,Fernando C Marino,Sérgio L Ribeiro",[],Brazil,2020,0,https://doi.org/10.1145/3376044.3376058,ACM
17,A Survey of Blockchain Based on E-voting Systems,"Yousif Abuidris,Rajesh Kumar,Wang WenYong",['University of Electronic Science and Technology of China'],china,2020,0,https://doi.org/10.1145/3376044.3376060,ACM
18,An Anonymous Transmission Algorithm Named Ripple Spreading for Blockchain,"Yongwang Zhou,Zhuchao Yu,Yixiao Lan,Yuxin Guo,Ruinan Chen",['Northeastern University'],China,2020,1,https://doi.org/10.1145/3390566.3391682,ACM
19,Blockchain Adoption for Plea Bargaining of Corporate Crime in Indonesia,"Henry Dianto Sinaga,Andhy H Bolifaar",['Diponegoro University'],Indonesia,2020,0,https://doi.org/10.1145/3390566.3391680,ACM
20,CoVID-19 Vaccination Certificate Supply Verification Based on Blockchain,"Yash Madhwal,Yury A Yanovich,Ilya Chumakov",[],Russia,2022,0,https://doi.org/10.1145/3510487.3510500,ACM
21,Consensus in Blockchain Systems with Low Network Throughput: A Systematic Mapping Study,"Henrik Knudsen,Jakob Svennevik Notland,Peter Halland Haro,Truls Bakkejord Ræder,Jingyue Li",['Norwegian University of Science and Technology'],Norway,2021,0,https://doi.org/10.1145/3475992.3475995,ACM
22,Creating Lean and Agile Supply Chains with Blockchain,"Ruijuan Zhao,Jay Bal,Xiao Ma","['Shanghai University of Political Science and Law', 'University of Warwick']",UK,2021,0,https://doi.org/10.1145/3460537.3460558,ACM
23,Creating Lean and Agile Supply Chains with Blockchain,"Ruijuan Zhao,Jay Bal,Xiao Ma","['Shanghai University of Political Science and Law', 'University of Warwick']",UK,2021,0,https://doi.org/10.1145/3460537.3460558,ACM
24,A Blockchain-Based Deposit System to Reduce WEE,"Sebastian Lawrenz,Vera Stein,Lukas Jacobs,Andreas Rausch",['Clausthal University of Technology'],Germany,2020,0,https://doi.org/10.1145/3390566.3391686,ACM
25,Occupation mechanism for eliminating double-spending attacks on trusted transaction blockchain,"Yuyan Zhang,Mengyan Huang,Xu Zhang",['Beijing University of Posts and Telecommunications and Beijing University of Posts and Telecommunications'],P. R. China,2021,0,https://doi.org/10.1145/3460537.3460543,ACM
