,Unnamed: 0.1,Unnamed: 0,Document Title,Authors,Author Affiliations,Universities,Publication Year,DOI,Publisher,citation
0,0,0,,,,,,,,0.0
1,1,1,A Blockchain-based Model Migration Approach for Secure and Sustainable Federated Learning in IoT Systems,C. Zhang; Y. Xu; H. Elahi; D. Zhang; Y. Tan; J. Chen; Y. Zhang,China,"['Hunan University', 'Umea University', 'Central South University']",2022.0,10.1109/JIOT.2022.3171926,IEEE,0.0
2,2,2,A Blockchain-based Model Migration Approach for Secure and Sustainable Federated Learning in IoT Systems,C. Zhang; Y. Xu; H. Elahi; D. Zhang; Y. Tan; J. Chen; Y. Zhang,Sweden,"['Hunan University', 'Umea University', 'Central South University']",2022.0,10.1109/JIOT.2022.3171926,IEEE,0.0
3,3,3,BESIFL: Blockchain Empowered Secure and Incentive Federated Learning Paradigm in IoT,Y. Xu; Z. Lu; K. Gai; Q. Duan; J. Lin; J. Wu; K. -K. R. Choo,China,"['Fudan University', 'The Pennsylvania State University', 'University of Texas at San Antonio']",2021.0,10.1109/JIOT.2021.3138693,IEEE,2.0
4,4,4,BESIFL: Blockchain Empowered Secure and Incentive Federated Learning Paradigm in IoT,Y. Xu; Z. Lu; K. Gai; Q. Duan; J. Lin; J. Wu; K. -K. R. Choo,USA,"['Fudan University', 'The Pennsylvania State University', 'University of Texas at San Antonio']",2021.0,10.1109/JIOT.2021.3138693,IEEE,2.0
5,5,5,BESIFL: Blockchain Empowered Secure and Incentive Federated Learning Paradigm in IoT,Y. Xu; Z. Lu; K. Gai; Q. Duan; J. Lin; J. Wu; K. -K. R. Choo,at,"['Fudan University', 'The Pennsylvania State University', 'University of Texas at San Antonio']",2021.0,10.1109/JIOT.2021.3138693,IEEE,2.0
6,6,6,BPPS:Blockchain-Enabled Privacy-Preserving Scheme for Demand-Response Management in Smart Grid Environments,K. Park; J. Lee; A. K. Das; Y. Park,India,['Kyungpook National University'],2022.0,10.1109/TDSC.2022.3163138,IEEE,3.0
7,7,7,TRUCON: Blockchain-Based Trusted Data Sharing With Congestion Control in Internet of Vehicles,M. Yuan; Y. Xu; C. Zhang; Y. Tan; Y. Wang; J. Ren; Y. Zhang,China,"['Central South University', 'Zhejiang University', 'Hunan University', 'Tsinghua University']",2022.0,10.1109/TITS.2022.3226500,IEEE,0.0
8,8,8,Conditional Anonymous Remote Healthcare Data Sharing Over Blockchain,J. Liu; W. Jiang; R. Sun; A. K. Bashir; M. D. Alshehri; Q. Hua; K. Yu,Japan,"['Xidian University', 'Manchester Metropolitan University', 'Taif University', 'Hubei University of Arts and Science', 'Hosei University']",2022.0,10.1109/JBHI.2022.3183397,IEEE,0.0
9,9,9,Conditional Anonymous Remote Healthcare Data Sharing Over Blockchain,J. Liu; W. Jiang; R. Sun; A. K. Bashir; M. D. Alshehri; Q. Hua; K. Yu,China,"['Xidian University', 'Manchester Metropolitan University', 'Taif University', 'Hubei University of Arts and Science', 'Hosei University']",2022.0,10.1109/JBHI.2022.3183397,IEEE,0.0
10,10,10,Secure and Efficiently Searchable IoT Communication Data Management Model: Using Blockchain as a new tool,H. Zhang; X. Zhang; Z. Guo; H. Wang; D. Cui; Q. Wen,China,['Beijing University of Posts and Telecommunications'],2021.0,10.1109/JIOT.2021.3121482,IEEE,0.0
11,11,11,MSTDB: A Hybrid Storage-Empowered Scalable Semantic Blockchain Database,E. Zhou; Z. Hong; Y. Xiao; D. Zhao; Q. Pei; S. Guo; R. Akerkar,Hong Kong,"['Xidian University', 'The Hong Kong Polytechnic University', 'Universities of Shaanxi Province']",2022.0,10.1109/TKDE.2022.3220522,IEEE,0.0
12,12,12,MSTDB: A Hybrid Storage-Empowered Scalable Semantic Blockchain Database,E. Zhou; Z. Hong; Y. Xiao; D. Zhao; Q. Pei; S. Guo; R. Akerkar,Norway,"['Xidian University', 'The Hong Kong Polytechnic University', 'Universities of Shaanxi Province']",2022.0,10.1109/TKDE.2022.3220522,IEEE,0.0
13,13,13,MSTDB: A Hybrid Storage-Empowered Scalable Semantic Blockchain Database,E. Zhou; Z. Hong; Y. Xiao; D. Zhao; Q. Pei; S. Guo; R. Akerkar,China,"['Xidian University', 'The Hong Kong Polytechnic University', 'Universities of Shaanxi Province']",2022.0,10.1109/TKDE.2022.3220522,IEEE,0.0
14,14,14,MSTDB: A Hybrid Storage-Empowered Scalable Semantic Blockchain Database,E. Zhou; Z. Hong; Y. Xiao; D. Zhao; Q. Pei; S. Guo; R. Akerkar,at,"['Xidian University', 'The Hong Kong Polytechnic University', 'Universities of Shaanxi Province']",2022.0,10.1109/TKDE.2022.3220522,IEEE,0.0
15,15,15,Blockchain-enabled Secure and Trusted Federated Data Sharing in IIoT,Z. Zhou; Y. Tian; J. Xiong; J. Ma; C. Peng,China,"['Guilin University of Electronic Technology', 'Guizhou University']",2022.0,10.1109/TII.2022.3215192,IEEE,0.0
16,16,16,A Tractable Probabilistic Approach to Analyze Sybil Attacks in Sharding-Based Blockchain Protocols,A. Hafid; A. S. Hafid; M. Samih,Morocco,"['University of Montreal', 'University of Moulay Ismail']",2022.0,10.1109/TETC.2022.3179638,IEEE,1.0
17,17,17,A Tractable Probabilistic Approach to Analyze Sybil Attacks in Sharding-Based Blockchain Protocols,A. Hafid; A. S. Hafid; M. Samih,Canada,"['University of Montreal', 'University of Moulay Ismail']",2022.0,10.1109/TETC.2022.3179638,IEEE,1.0
18,18,18,Immutable Log Storage as a Service on Private and Public Blockchains,W. Pourmajidi; L. Zhang; J. Steinbacher; T. Erwin; A. Miranskyy,Canada,['Ryerson University'],2021.0,10.1109/TSC.2021.3120690,IEEE,1.0
19,19,19,Immutable Log Storage as a Service on Private and Public Blockchains,W. Pourmajidi; L. Zhang; J. Steinbacher; T. Erwin; A. Miranskyy,United States,['Ryerson University'],2021.0,10.1109/TSC.2021.3120690,IEEE,1.0
20,20,20,GpDB: A Graph-partition Based Storage Strategy for DAG-Blockchain in Edge-cloud IIoT,Z. Liao; S. Cheng; J. Zhang; W. Wu; J. Wang; P. K. Sharma,China,"['410114 Changsha University of Science and Technology', '41011 University of Aberdeen']",2022.0,10.1109/TII.2022.3162201,IEEE,0.0
21,21,21,GpDB: A Graph-partition Based Storage Strategy for DAG-Blockchain in Edge-cloud IIoT,Z. Liao; S. Cheng; J. Zhang; W. Wu; J. Wang; P. K. Sharma,United States,"['410114 Changsha University of Science and Technology', '41011 University of Aberdeen']",2022.0,10.1109/TII.2022.3162201,IEEE,0.0
