,Unnamed: 0,Document Title,Authors,Author Affiliations,Universities,Publication Year,Abstract,ISSN,ISBNs,DOI,Article Citation Count,Patent Citation Count,Publisher
0,0,,,,,,,,,,,,
1,1,A Blockchain-based Model Migration Approach for Secure and Sustainable Federated Learning in IoT Systems,C. Zhang; Y. Xu; H. Elahi; D. Zhang; Y. Tan; J. Chen; Y. Zhang,China,"['Hunan University', 'Umea University', 'Central South University']",2022.0,"Model migration can accelerate model convergence during federated learning on the Internet of Things (IoT) devices and reduce training costs by transferring feature extractors from fast to slow devices, which, in turn, enables sustainable computing. However, malicious or lazy devices may migrate the fake models or resist sharing models for their benefit, reducing the desired efficiency and reliability of a federated learning system. To this end, this work presents a blockchain-based model migration approach for resource-constrained IoT systems. The proposed approach aims to achieve secure model migration and speed up model training while minimizing computation cost. We first develop an incentive mechanism considering the economic benefits of fast devices, which breaks the Nash equilibrium established by lazy devices and encourages capable devices to train and share models. Second, we design a clustering-based algorithm for identifying malicious devices and preventing them from defrauding incentives. Third, we use blockchain to ensure trustworthiness in model migration and incentive processes. Blockchain records the interaction between the central server and IoT devices and runs the incentive algorithm without exposing the devices’ private data. Theoretical analysis and experimental results show that the proposed approach can accelerate federated learning rates, reduce model training computation costs to increase sustainability, and resist malicious attacks.",2327-4662,,10.1109/JIOT.2022.3171926,,,IEEE
2,2,A Blockchain-based Model Migration Approach for Secure and Sustainable Federated Learning in IoT Systems,C. Zhang; Y. Xu; H. Elahi; D. Zhang; Y. Tan; J. Chen; Y. Zhang,Sweden,"['Hunan University', 'Umea University', 'Central South University']",2022.0,"Model migration can accelerate model convergence during federated learning on the Internet of Things (IoT) devices and reduce training costs by transferring feature extractors from fast to slow devices, which, in turn, enables sustainable computing. However, malicious or lazy devices may migrate the fake models or resist sharing models for their benefit, reducing the desired efficiency and reliability of a federated learning system. To this end, this work presents a blockchain-based model migration approach for resource-constrained IoT systems. The proposed approach aims to achieve secure model migration and speed up model training while minimizing computation cost. We first develop an incentive mechanism considering the economic benefits of fast devices, which breaks the Nash equilibrium established by lazy devices and encourages capable devices to train and share models. Second, we design a clustering-based algorithm for identifying malicious devices and preventing them from defrauding incentives. Third, we use blockchain to ensure trustworthiness in model migration and incentive processes. Blockchain records the interaction between the central server and IoT devices and runs the incentive algorithm without exposing the devices’ private data. Theoretical analysis and experimental results show that the proposed approach can accelerate federated learning rates, reduce model training computation costs to increase sustainability, and resist malicious attacks.",2327-4662,,10.1109/JIOT.2022.3171926,,,IEEE
3,3,BESIFL: Blockchain Empowered Secure and Incentive Federated Learning Paradigm in IoT,Y. Xu; Z. Lu; K. Gai; Q. Duan; J. Lin; J. Wu; K. -K. R. Choo,China,"['Fudan University', 'The Pennsylvania State University', 'University of Texas at San Antonio']",2021.0,"Federated Learning (FL) offers a promising approach to efficient machine learning with privacy protection in distributed environments, such as Internet of Things (IoT) and Mobile Edge Computing (MEC). Effectiveness of FL relies on a group of participant nodes that contribute their data and computing capacities to the collaborative training of a global model. Therefore, preventing malicious nodes from adversely affecting the model training while incentivizing credible nodes to contribute to the learning process plays a crucial role in enhancing FL security and performance. Seeking to contribute to the literature, we propose a Blockchain Empowered Secure and Incentive Federated Learning (BESIFL) paradigm in this paper. Specifically, BESIFL leverages blockchain to achieve a fully decentralized FL system, where effective mechanisms for malicious node detections and incentive management are fully integrated in a unified framework. Experiment results show that the proposed BESIFL is effective in improving FL performance through its protection against malicious nodes, incentive management, and selection of credible nodes.",2327-4662,,10.1109/JIOT.2021.3138693,2.0,,IEEE
4,4,BESIFL: Blockchain Empowered Secure and Incentive Federated Learning Paradigm in IoT,Y. Xu; Z. Lu; K. Gai; Q. Duan; J. Lin; J. Wu; K. -K. R. Choo,USA,"['Fudan University', 'The Pennsylvania State University', 'University of Texas at San Antonio']",2021.0,"Federated Learning (FL) offers a promising approach to efficient machine learning with privacy protection in distributed environments, such as Internet of Things (IoT) and Mobile Edge Computing (MEC). Effectiveness of FL relies on a group of participant nodes that contribute their data and computing capacities to the collaborative training of a global model. Therefore, preventing malicious nodes from adversely affecting the model training while incentivizing credible nodes to contribute to the learning process plays a crucial role in enhancing FL security and performance. Seeking to contribute to the literature, we propose a Blockchain Empowered Secure and Incentive Federated Learning (BESIFL) paradigm in this paper. Specifically, BESIFL leverages blockchain to achieve a fully decentralized FL system, where effective mechanisms for malicious node detections and incentive management are fully integrated in a unified framework. Experiment results show that the proposed BESIFL is effective in improving FL performance through its protection against malicious nodes, incentive management, and selection of credible nodes.",2327-4662,,10.1109/JIOT.2021.3138693,2.0,,IEEE
5,5,BESIFL: Blockchain Empowered Secure and Incentive Federated Learning Paradigm in IoT,Y. Xu; Z. Lu; K. Gai; Q. Duan; J. Lin; J. Wu; K. -K. R. Choo,at,"['Fudan University', 'The Pennsylvania State University', 'University of Texas at San Antonio']",2021.0,"Federated Learning (FL) offers a promising approach to efficient machine learning with privacy protection in distributed environments, such as Internet of Things (IoT) and Mobile Edge Computing (MEC). Effectiveness of FL relies on a group of participant nodes that contribute their data and computing capacities to the collaborative training of a global model. Therefore, preventing malicious nodes from adversely affecting the model training while incentivizing credible nodes to contribute to the learning process plays a crucial role in enhancing FL security and performance. Seeking to contribute to the literature, we propose a Blockchain Empowered Secure and Incentive Federated Learning (BESIFL) paradigm in this paper. Specifically, BESIFL leverages blockchain to achieve a fully decentralized FL system, where effective mechanisms for malicious node detections and incentive management are fully integrated in a unified framework. Experiment results show that the proposed BESIFL is effective in improving FL performance through its protection against malicious nodes, incentive management, and selection of credible nodes.",2327-4662,,10.1109/JIOT.2021.3138693,2.0,,IEEE
6,6,BPPS:Blockchain-Enabled Privacy-Preserving Scheme for Demand-Response Management in Smart Grid Environments,K. Park; J. Lee; A. K. Das; Y. Park,India,['Kyungpook National University'],2022.0,"With the ongoing revolutionary growth of the industrial Internet of Things and smart grid networks, smart grid (SG) communication has been acknowledged as a next-generation network for intelligent and efficient electric power transmission. In SG networks, smart meters (SMs) generally send requests for electricity demand to service providers (SPs), which deal with the requests for efficient energy distribution. However, SGs experience many security issues with the deployed SMs and untrusted wireless communication. To tackle these security issues, we propose a privacy-preserving authentication scheme for demand response management in SGs, called BPPS. It can resist various attacks and achieve secure mutual authentication with key agreement; moreover, it provides integrity of demand-response data using blockchain. Moreover, we perform the informal and formal (mathematical) security analysis to confirm that BPPS is secure against various attacks and achieves session key security, respectively. Furthermore, we conduct the performance and simulation analysis for SGs using NS3 and Ethereum testnet. Consequently, BPPS provides high-level security and can be applied to actual SG networks.",1941-0018,,10.1109/TDSC.2022.3163138,3.0,,IEEE
7,7,TRUCON: Blockchain-Based Trusted Data Sharing With Congestion Control in Internet of Vehicles,M. Yuan; Y. Xu; C. Zhang; Y. Tan; Y. Wang; J. Ren; Y. Zhang,China,"['Central South University', 'Zhejiang University', 'Hunan University', 'Tsinghua University']",2022.0,"The Internet of vehicles (IoV) has a substantial impact on traffic efficiency improvement and accidents avoidance. Due to restricted resources, vehicles must share observed data with RSUs and other vehicles to execute some time-tolerant computing tasks. However, data provided by vehicles cannot always be trusted due to the presence of attackers. Fake messages could have catastrophic ramifications, such as vehicle collisions. Furthermore, extensive data sharing might cause channel congestion, resulting in the loss of vital messages during delivery. To overcome the aforementioned issues, we propose TRUCON, a blockchain-based trusted data sharing mechanism with congestion control in IoV. Firstly, we propose a Kademlia algorithm-based traffic data forwarding method to control channel congestion state. By adjusting the bucket size and distance threshold, source vehicles can limit the number of reference vehicles forwarded. Secondly, we present a cuckoo filter-based traffic data deduplication and discrimination approach. To avoid repetitive sharing, vehicles and RSUs can check their local filters to verify if the current data report has been shared. Based on the foregoing, we propose a blockchain-based trust management mechanism with congestion control. RSUs serve as full nodes while vehicles are light nodes in the blockchain. Finally, we develop a trust management prototype system with congestion control that incorporates both on-chain and off-chain parts. It signifies that our scheme is both feasible and effective.",1558-0016,,10.1109/TITS.2022.3226500,,,IEEE
8,8,Conditional Anonymous Remote Healthcare Data Sharing Over Blockchain,J. Liu; W. Jiang; R. Sun; A. K. Bashir; M. D. Alshehri; Q. Hua; K. Yu,Japan,"['Xidian University', 'Manchester Metropolitan University', 'Taif University', 'Hubei University of Arts and Science', 'Hosei University']",2022.0,"As an important carrier of healthcare data, Electronic Medical Records (EMRs) generated from various sensors, i.e., wearable, implantable, are extremely valuable research materials for artificial intelligence and machine learning. The efficient circulation of EMRs can improve remote medical services and promote the development of the related healthcare industry. However, in traditional centralized data sharing architectures, the balance between privacy and traceability still cannot be well handled. To address the issue that malicious users cannot be locked in the fully anonymous sharing schemes, we propose a trackable anonymous remote healthcare data storing and sharing scheme over decentralized consortium blockchain. Through an “on-chain & off-chain” model, it relieves the massive data storage pressure of medical blockchain. By introducing an improved proxy re-encryption mechanism, the proposed scheme realizes the fine-gained access control of the outsourced data, and can also prevent the collusion between semi-trusted cloud servers and data requestors who try to reveal EMRs without authorization. Compared with the existing schemes, our solution can provide a lower computational overhead in repeated EMRs sharing, resulting in a more efficient overall performance.",2168-2208,,10.1109/JBHI.2022.3183397,,,IEEE
9,9,Conditional Anonymous Remote Healthcare Data Sharing Over Blockchain,J. Liu; W. Jiang; R. Sun; A. K. Bashir; M. D. Alshehri; Q. Hua; K. Yu,China,"['Xidian University', 'Manchester Metropolitan University', 'Taif University', 'Hubei University of Arts and Science', 'Hosei University']",2022.0,"As an important carrier of healthcare data, Electronic Medical Records (EMRs) generated from various sensors, i.e., wearable, implantable, are extremely valuable research materials for artificial intelligence and machine learning. The efficient circulation of EMRs can improve remote medical services and promote the development of the related healthcare industry. However, in traditional centralized data sharing architectures, the balance between privacy and traceability still cannot be well handled. To address the issue that malicious users cannot be locked in the fully anonymous sharing schemes, we propose a trackable anonymous remote healthcare data storing and sharing scheme over decentralized consortium blockchain. Through an “on-chain & off-chain” model, it relieves the massive data storage pressure of medical blockchain. By introducing an improved proxy re-encryption mechanism, the proposed scheme realizes the fine-gained access control of the outsourced data, and can also prevent the collusion between semi-trusted cloud servers and data requestors who try to reveal EMRs without authorization. Compared with the existing schemes, our solution can provide a lower computational overhead in repeated EMRs sharing, resulting in a more efficient overall performance.",2168-2208,,10.1109/JBHI.2022.3183397,,,IEEE
10,10,Secure and Efficiently Searchable IoT Communication Data Management Model: Using Blockchain as a new tool,H. Zhang; X. Zhang; Z. Guo; H. Wang; D. Cui; Q. Wen,China,['Beijing University of Posts and Telecommunications'],2021.0,"With the rapid development of the Internet of things (IoT), more IoT devices are connected in the same network and communicate frequently for sharing data and switching instructions. So that the traditional centralized security architecture of IoT will be limited in terms of data storage space, data reliability, scalability and operating costs. In this paper, we propose a novel communication data management model based on blockchain technology. Specifically, all encrypted IoT communication data files are uploaded to public cloud server for obtaining enough storage space, but the key information extracted from these data files (called ""communication logs"") will be recorded in an ""IoT ledger"" maintained by all IoT devices. In fact, the IoT ledger is a kind of blockchain structured distributed database, which can solve the problem of data reliability, scalability and would not involve high operating costs. Besides, in order to efficiently search communication logs and not reveal any sensitive information of communication data, we design a secure search scheme over such blockchain database, the asymmetric scalar-product preserving encryption (ASPE) approach is exploited to guarantee the data security, and the two layers index improves the search efficiency. Security analysis and experiments on synthetic dataset show that our scheme is secure and efficient.",2327-4662,,10.1109/JIOT.2021.3121482,,,IEEE
11,11,MSTDB: A Hybrid Storage-Empowered Scalable Semantic Blockchain Database,E. Zhou; Z. Hong; Y. Xiao; D. Zhao; Q. Pei; S. Guo; R. Akerkar,Hong Kong,"['Xidian University', 'The Hong Kong Polytechnic University', 'Universities of Shaanxi Province']",2022.0,"Blockchain has been regarded as a trusted carrier for distributed data storage. With large volumes of valuable data stored on blockchain, data query has become a major requirement. However, the existing blockchains do not provide efficient query functionality because of their deep-rooted chain structure. Blockchain database is a new direction that constructs index on top of blockchain to provide rich query functionalities. The existing works are either insecure because the query process separates from the blockchain consensus, or inscalable because all the data needs to be stored in the block. In this paper, we propose a novel semantic blockchain database called MSTDB. We design a hybrid on/off chain blockchain storage architecture in which the majority of blockchain storage is offloaded to the off-chain storage and a novel index structure named Merkle Semantic Trie (MST) is designed to be a secure and semantic bridge between on- and off-chain. Based on MST, MSTDB provides a variety of semantic query functions including multi-keyword query, range query, Top-K query, and cross-chain query. To improve the performance further, we design some index compression and query preprocessing techniques for MSTDB. Extensive experiments demonstrate the effectiveness and efficiency of our blockchain database.",1558-2191,,10.1109/TKDE.2022.3220522,,,IEEE
12,12,MSTDB: A Hybrid Storage-Empowered Scalable Semantic Blockchain Database,E. Zhou; Z. Hong; Y. Xiao; D. Zhao; Q. Pei; S. Guo; R. Akerkar,Norway,"['Xidian University', 'The Hong Kong Polytechnic University', 'Universities of Shaanxi Province']",2022.0,"Blockchain has been regarded as a trusted carrier for distributed data storage. With large volumes of valuable data stored on blockchain, data query has become a major requirement. However, the existing blockchains do not provide efficient query functionality because of their deep-rooted chain structure. Blockchain database is a new direction that constructs index on top of blockchain to provide rich query functionalities. The existing works are either insecure because the query process separates from the blockchain consensus, or inscalable because all the data needs to be stored in the block. In this paper, we propose a novel semantic blockchain database called MSTDB. We design a hybrid on/off chain blockchain storage architecture in which the majority of blockchain storage is offloaded to the off-chain storage and a novel index structure named Merkle Semantic Trie (MST) is designed to be a secure and semantic bridge between on- and off-chain. Based on MST, MSTDB provides a variety of semantic query functions including multi-keyword query, range query, Top-K query, and cross-chain query. To improve the performance further, we design some index compression and query preprocessing techniques for MSTDB. Extensive experiments demonstrate the effectiveness and efficiency of our blockchain database.",1558-2191,,10.1109/TKDE.2022.3220522,,,IEEE
13,13,MSTDB: A Hybrid Storage-Empowered Scalable Semantic Blockchain Database,E. Zhou; Z. Hong; Y. Xiao; D. Zhao; Q. Pei; S. Guo; R. Akerkar,China,"['Xidian University', 'The Hong Kong Polytechnic University', 'Universities of Shaanxi Province']",2022.0,"Blockchain has been regarded as a trusted carrier for distributed data storage. With large volumes of valuable data stored on blockchain, data query has become a major requirement. However, the existing blockchains do not provide efficient query functionality because of their deep-rooted chain structure. Blockchain database is a new direction that constructs index on top of blockchain to provide rich query functionalities. The existing works are either insecure because the query process separates from the blockchain consensus, or inscalable because all the data needs to be stored in the block. In this paper, we propose a novel semantic blockchain database called MSTDB. We design a hybrid on/off chain blockchain storage architecture in which the majority of blockchain storage is offloaded to the off-chain storage and a novel index structure named Merkle Semantic Trie (MST) is designed to be a secure and semantic bridge between on- and off-chain. Based on MST, MSTDB provides a variety of semantic query functions including multi-keyword query, range query, Top-K query, and cross-chain query. To improve the performance further, we design some index compression and query preprocessing techniques for MSTDB. Extensive experiments demonstrate the effectiveness and efficiency of our blockchain database.",1558-2191,,10.1109/TKDE.2022.3220522,,,IEEE
14,14,MSTDB: A Hybrid Storage-Empowered Scalable Semantic Blockchain Database,E. Zhou; Z. Hong; Y. Xiao; D. Zhao; Q. Pei; S. Guo; R. Akerkar,at,"['Xidian University', 'The Hong Kong Polytechnic University', 'Universities of Shaanxi Province']",2022.0,"Blockchain has been regarded as a trusted carrier for distributed data storage. With large volumes of valuable data stored on blockchain, data query has become a major requirement. However, the existing blockchains do not provide efficient query functionality because of their deep-rooted chain structure. Blockchain database is a new direction that constructs index on top of blockchain to provide rich query functionalities. The existing works are either insecure because the query process separates from the blockchain consensus, or inscalable because all the data needs to be stored in the block. In this paper, we propose a novel semantic blockchain database called MSTDB. We design a hybrid on/off chain blockchain storage architecture in which the majority of blockchain storage is offloaded to the off-chain storage and a novel index structure named Merkle Semantic Trie (MST) is designed to be a secure and semantic bridge between on- and off-chain. Based on MST, MSTDB provides a variety of semantic query functions including multi-keyword query, range query, Top-K query, and cross-chain query. To improve the performance further, we design some index compression and query preprocessing techniques for MSTDB. Extensive experiments demonstrate the effectiveness and efficiency of our blockchain database.",1558-2191,,10.1109/TKDE.2022.3220522,,,IEEE
15,15,Blockchain-enabled Secure and Trusted Federated Data Sharing in IIoT,Z. Zhou; Y. Tian; J. Xiong; J. Ma; C. Peng,China,"['Guilin University of Electronic Technology', 'Guizhou University']",2022.0,"Federated learning breaks down data silos and promotes the intelligence of the industrial Internet of Things (IIoT). However, the principal-agent architecture commonly used in federated learning not only increases the cost, but also fails to take into account the privacy protection and trustworthiness of flexible on-demand data sharing. To tackle the above challenges, we propose a secure and trusted federated data sharing (STFS) based on blockchain. Initially, we construct an autonomous and reliable federated extreme gradient boosting learning algorithm to crack the data isolation problem, providing privacy protection and verifiability. Furthermore, we design a secure and trusted data sharing and trading mechanism to ensure secure on-demand controlled data sharing and fair trading. Finally, the security of STFS is proved based on the universal composable theory. The results of ample experimental simulations demonstrate the good effectiveness and performance of STFS for IIoT applications.",1941-0050,,10.1109/TII.2022.3215192,,,IEEE
