,Unnamed: 0,Document Title,Authors,Author Affiliations,Publication Year,Downloads,Citations,DOI,Publisher
0,0,,,,,,,,
1,1,Blockchain adoption and channel selection strategies in a competitive remanufacturing supply chain,"['Bengang Gong', 'Huaimiao Zhang', 'Yiling Gao', 'Zhi Liu']","['College of Economics and Management, Anhui Polytechnic University No.8 Beijing Zhong Road, Wuhu City, Anhui Province, China 241000', 'College of Economics and Management, Anhui Polytechnic University No.8 Beijing Zhong Road, Wuhu City, Anhui Province, China 241000', 'College of Economics and Management, Anhui Polytechnic University No.8 Beijing Zhong Road, Wuhu City, Anhui Province, China 241000', 'College of Economics and Management, Anhui Polytechnic University No.8 Beijing Zhong Road, Wuhu City, Anhui Province, China 241000']","Available online 13 December 2022, 108829",0.0,0.0,https://www.sciencedirect.com/science/article/pii/S0360835222008178,Science direct
3,3,A systematic literature review on blockchain governance☆,"['Yue Liu', 'Qinghua Lu', 'Liming Zhu', 'Hye-Young Paik', 'Mark Staples']","['Data61, CSIRO, Sydney, Australia', 'Data61, CSIRO, Sydney, Australia', 'Data61, CSIRO, Sydney, Australia', 'University of New South Wales, Sydney, Australia', 'Data61, CSIRO, Sydney, Australia']","Volume 197, March 2023, 111576",0.0,0.0,https://www.sciencedirect.com/science/article/pii/S0164121222002527,Science direct
6,6,Accounting and auditing with blockchain technology and artificial Intelligence: A literature review,"['Hongdan Han', 'Radha K. Shiwakoti', 'Robin Jarvis', 'Chima Mordi', 'David Botchie']","['Brunel Business School, Brunel University London, UB8 3PH, United Kingdom', 'Brunel Business School, Brunel University London, UB8 3PH, United Kingdom', 'Brunel Business School, Brunel University London, UB8 3PH, United Kingdom', 'Brunel Business School, Brunel University London, UB8 3PH, United Kingdom', 'Brunel Business School, Brunel University London, UB8 3PH, United Kingdom']","Volume 48, March 2023, 100598",29.0,0.0,https://www.sciencedirect.com/science/article/pii/S1467089522000501,Science direct
10,10,"A survey of blockchain consensus safety and security: State-of-the-art, challenges, and future work☆","['Qihao Bao', 'Bixin Li', 'Tianyuan Hu', 'Xueyong Sun']","['School of Computer Science and Engineering, Southeast University, Nanjing, 211189, China', 'School of Computer Science and Engineering, Southeast University, Nanjing, 211189, China', 'School of Computer Science and Engineering, Southeast University, Nanjing, 211189, China', 'School of Computer Science and Engineering, Southeast University, Nanjing, 211189, China']","Volume 196, February 2023, 111555",0.0,0.0,https://www.sciencedirect.com/science/article/pii/S016412122200231X,Science direct
15,15,Secure Intelligent Fuzzy Blockchain Framework: Effective Threat Detection in IoT Networks,"['Abbas Yazdinejad', 'Ali Dehghantanha', 'Reza M. Parizi', 'Gautam Srivastava', 'Hadis Karimipour']","['Cyber Science Lab, School of Computer Science, University of Guelph, Ontario, Canada', 'Cyber Science Lab, School of Computer Science, University of Guelph, Ontario, Canada', 'Decentralized Science Lab, College of Computing and Software Engineering, Kennesaw State University, GA, USA', 'Department of Math and Computer Science, Brandon University, Manitoba, Canada', 'School of Engineering, Department of Electrical and Software Engineering, University of Calgary, Alberta, Canada']","Volume 144, January 2023, 103801",0.0,0.0,https://www.sciencedirect.com/science/article/pii/S016636152200197X,Science direct
21,21,The ASEAN blockchain roadmap,"['Gerardo R. Ungson', 'Sada Soorapanth']","['Lam Family College of Business, San Francisco State University, 1600 Holloway Avenue, San Francisco, CA 94132, United States', 'Lam Family College of Business, San Francisco State University, 1600 Holloway Avenue, San Francisco, CA 94132, United States']","Volume 2, Issue 3, December 2022, 100047",0.0,1.0,https://www.sciencedirect.com/science/article/pii/S266711152200024X,Science direct
28,28,A renewable energy microgrids trading management platform based on permissioned blockchain,"['Yu-Tian Lei', 'Chao-Qun Ma', 'Nawazish Mirza', 'Yi-Shuai Ren', 'Seema Wati Narayan', 'Xun-Qi Chen']","['Business School, Hunan University, China', 'Business School, Hunan University, China', 'Excelia Business School, La Rochelle, France', 'Research Institute of Digital Society and Blockchain, Hunan University, China', 'Asia Pacific Applied Economics Association, Melbourne, Australia', 'Business School, Hunan University, China']","Volume 115, November 2022, 106375",22.0,0.0,https://www.sciencedirect.com/science/article/pii/S0140988322005047,Science direct
36,36,Fully homomorphic encryption-based privacy-preserving scheme for cross edge blockchain network☆,"['Zhaofeng Ma', 'Jingyu Wang', 'Keke Gai', 'Pengfei Duan', 'Yuqing Zhang', 'Shoushan Luo']","['School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing 100876, China', 'School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing 100876, China', 'School of Cyberspace Science and Technology, Beijing Institute of Technology, Beijing 100876, China', 'School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing 100876, China', 'School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing 100876, China', 'School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing 100876, China']","Volume 134, January 2023, 102782",0.0,0.0,https://www.sciencedirect.com/science/article/pii/S1383762122002673,Science direct
45,45,Blockchain-of-blockchains: An interoperable blockchain platform for ensuring IoT data integrity in smart city,"['Mohammad Saidur Rahman', 'M.A.P. Chamikara', 'Ibrahim Khalil', 'Abdelaziz Bouras']","['Computer Science and Software Engineering, School of Science, RMIT University, Melbourne,Victoria 3000, Australia', 'Computer Science and Software Engineering, School of Science, RMIT University, Melbourne,Victoria 3000, Australia', 'Computer Science and Software Engineering, School of Science, RMIT University, Melbourne,Victoria 3000, Australia', 'Computer Science and Engineering Department, Qatar University, Doha, Qatar']","Volume 30, November 2022, 100408",0.0,0.0,https://www.sciencedirect.com/science/article/pii/S2452414X22000759,Science direct
